Time-Step;flow-time;jmag(plano-eletrodos-a);jmag(plano-eletrodos-b);jmag(plano-eletrodos-c)
1.0;8.3e-05;28129024.95513115;13337508.36364431;14576572.8312077
2.0;0.000166;28082737.58084041;12553265.65292723;15314368.11980409
3.0;0.000249;28008957.17907061;11756733.34173513;16037170.60841872
4.0;0.000332;27907756.00487707;10948691.20807152;16744272.71412859
5.0;0.000415;27779233.10195522;10129930.32816387;17434982.14545099
6.0;0.000498;23107119.80204957;12736110.01454071;9859941.269407284
7.0;0.000581;22238104.81868561;11056257.46874342;10342132.45720365
8.0;0.000664;21988778.63089554;9998464.634230081;11011741.22509626
9.0;0.000747;21756784.33602389;8554982.184279043;12213155.79730495
10.0;0.00083;21501036.12382772;7104722.384074029;13415855.1733604
11.0;0.000913;21283774.78821488;5865744.529420963;14454728.3396544
12.0;0.000996;20944142.31820741;4709889.927600796;15196963.77671092
13.0;0.001079;20535754.08396786;3687214.045601879;15758029.2127468
14.0;0.001162;20125800.98811089;2740623.601904398;16245143.42531236
15.0;0.001245;19564516.70452569;1825954.699659804;16463977.65304001
16.0;0.001328;19124798.10673831;1081061.111796739;16774634.23565702
17.0;0.001411;18354865.33570292;83143.66404150594;16956046.87894903
18.0;0.001494;17971117.65156981;618560.8514313191;17311933.85259217
19.0;0.001577;17042092.56069123;1670015.110073859;17098811.89034192
20.0;0.00166;16635338.2424349;2255474.433265257;17650368.8327935
21.0;0.001743;15719052.89583467;3464971.072011422;17626221.41940988
22.0;0.001826;15187441.33850567;3886912.168867939;17872002.11865153
23.0;0.001909;14276563.37890196;5132157.33176294;17840068.30744431
24.0;0.001992;13695686.67602504;5539687.007595615;18148627.04547572
25.0;0.002075;12849035.57958782;6724815.81378956;18117817.60122102
26.0;0.002158;12233468.8182037;7070052.262937787;18241375.77849696
27.0;0.002241;11510443.42310583;8020649.773453791;18277535.26201309
28.0;0.002324;10864825.01970346;8523304.879255064;18412709.44612935
29.0;0.002407;10242821.1141139;9123891.963869628;18318159.63808829
30.0;0.00249;9648729.533290623;9668805.124157038;18568432.27249674
31.0;0.002573;9076769.649519127;10258227.39030488;18534360.21175032
32.0;0.002656;8528432.370723397;10714809.42169745;18830806.63501051
33.0;0.002739;7971373.261794042;11319995.67325961;18618287.11111809
34.0;0.002822;7455608.957378618;11679180.62235741;19157689.16206945
35.0;0.002905;6901597.124107915;12497275.55305295;18980082.83382362
36.0;0.002988;6393576.903482693;12836033.82888515;19588369.58339617
37.0;0.003071;5842518.077783791;13603465.81720557;19214597.37866614
38.0;0.003154;5335975.675013377;14068729.4490655;20021504.85041648
39.0;0.003237;4791636.825374837;14831803.07876884;19748361.27063219
40.0;0.00332;4288526.306780346;15260128.62852556;20288725.96783137
41.0;0.003403;3761047.606336739;15914582.30760298;19935397.5398672
42.0;0.003486;3279512.872540055;16383491.63580884;20410636.38409869
