Time-Step;flow-time;tensao(plano-eletrodos-a);tensao(plano-eletrodos-b);tensao(plano-eletrodos-c)
1.0;8.3e-05;477.3473929004406;-81.7858281059966;-375.6160129396371
2.0;0.000166;481.5290537337979;-76.61181905383036;-385.4515896882869
3.0;0.000249;485.2393208417814;-71.36278334483835;-394.9097845612632
4.0;0.000332;488.4744623525577;-66.04395975795418;-403.9814394624563
5.0;0.000415;491.2314956238855;-60.66037001935363;-412.6574865567052
6.0;0.000498;468.5350720955001;221.7879172081698;-637.9196271778729
7.0;0.000581;505.2530380545068;157.6451175037168;-667.7693662568408
8.0;0.000664;503.418149935097;140.9194001661149;-672.6333360613298
9.0;0.000747;495.7565388118061;103.7242809056813;-637.2790805736546
10.0;0.00083;487.4110578300605;66.72094920853732;-599.8663892546845
11.0;0.000913;476.5205652482036;43.25247650258535;-570.1148021687274
12.0;0.000996;474.8468175910219;24.87159965705107;-560.5322953153218
13.0;0.001079;478.4557621728065;15.33011830920489;-561.6728417291911
14.0;0.001162;481.1517015108397;10.69078970476136;-565.6880289185154
15.0;0.001245;494.7673464346469;8.083637579871144;-587.8173304840747
16.0;0.001328;498.4498695212727;16.64373752309231;-599.236758359453
17.0;0.001411;522.7629521889535;2.099759200300038;-624.0943989000108
18.0;0.001494;519.6215143487658;21.454004749544;-626.4184979683067
19.0;0.001577;553.817959694543;9.581463068704382;-675.7893171145716
20.0;0.00166;548.3847723313503;29.52158410553976;-660.9048998690741
21.0;0.001743;575.6634065869696;7.673424145732691;-694.0255851266509
22.0;0.001826;578.4447892072454;37.37218463079282;-696.2681779319146
23.0;0.001909;601.7464466840447;12.93122020409261;-726.199922145238
24.0;0.001992;604.9104087326868;43.43583718068307;-720.5827400452895
25.0;0.002075;620.5188504315206;22.12382503503339;-745.4263955220603
26.0;0.002158;624.0211297593524;55.41209865253877;-748.468912015322
27.0;0.002241;628.412602797858;48.53688144444855;-761.0233978857763
28.0;0.002324;629.6870566450422;70.7705561761351;-760.8105850735569
29.0;0.002407;626.2136509896806;84.9428634791439;-774.0201620748475
30.0;0.00249;619.6497842306312;103.5115616424066;-761.3569233924276
31.0;0.002573;608.6541835838527;117.1476327097184;-765.1331935777873
32.0;0.002656;596.1658339710924;139.8272535192565;-743.890246235799
33.0;0.002739;580.5003054973135;150.5567056971001;-754.9296135545869
34.0;0.002822;563.5658408852732;178.0936256047296;-712.3521275120255
35.0;0.002905;541.834716653611;173.4077955386623;-717.6122018416514
36.0;0.002988;521.7503567271399;200.2612997128216;-665.901703167026
37.0;0.003071;498.1198221937898;196.4258651173117;-680.3924385920775
38.0;0.003154;473.9899159248405;213.5117436932321;-611.8957904336027
39.0;0.003237;447.9036465806332;208.2695135295546;-615.7813438367638
40.0;0.00332;422.1251884937136;224.951066250879;-561.3515676408598
41.0;0.003403;394.7338518863054;224.5236892639424;-566.7470578057939
42.0;0.003486;365.576178274939;236.6880512126281;-513.2313135365445
43.0;0.003569;334.6684337478096;237.166290470811;-513.9580635628902
44.0;0.003652;301.1782956899287;241.5522656557342;-468.673475659476
45.0;0.003735;267.9781270823167;249.1014126876669;-474.8055764602881
46.0;0.003818;229.3252879293258;246.8986574320798;-428.625833640196
47.0;0.003901;191.3688331811851;253.1309564401829;-431.1541975445037
48.0;0.003984;148.7310438090433;249.4840271901302;-387.4714673477655
49.0;0.004066999999999999;108.8535851792976;261.1526599809715;-397.0889109774878
50.0;0.00415;64.08374729910582;258.1494618855049;-351.6821147935966
51.0;0.004233;22.94395983706491;272.100288826841;-358.5686159414714
52.0;0.004316;-22.06548041039052;272.4955562743842;-316.749527659337
53.0;0.004399;-62.38138099534918;292.4140218513808;-333.2111938561633
54.0;0.004482;-107.6009534676109;292.7405021220411;-286.0830000254479
55.0;0.004565;-148.5675509656414;309.7815203643459;-292.0539990882632
56.0;0.004647999999999999;-192.5599963380755;314.6051881069745;-256.6535349164094
57.0;0.004731;-232.3543014761736;335.6696043437232;-269.7388552219397
58.0;0.004814;-275.8624170134683;340.8306280966188;-232.4821629745251
59.0;0.004897;-316.6316878306827;356.1728317635389;-230.0140993086106
60.0;0.00498;-358.5778254519007;365.1567169478405;-205.9581505321417
61.0;0.005063;-397.9493113783053;382.7724832324029;-209.1426009922906
62.0;0.005146;-438.7369843197399;392.361169911858;-185.8805496614455
63.0;0.005229;-477.6872225150575;406.4195245495378;-178.2659470314285
64.0;0.005312;-516.4885258105128;417.0500127378049;-158.9624175216955
65.0;0.005395;-552.6819247016663;432.8016461602413;-156.6176169034722
66.0;0.005478;-588.4447800637925;443.7372324568228;-138.0225827585555
67.0;0.005561;-621.618994318929;457.32676153917;-129.4971914467015
68.0;0.005644;-651.6373933843943;468.3535029544399;-113.5492376960038
69.0;0.005727;-678.3238849699745;480.9409144599692;-104.0396801102182
70.0;0.00581;-700.9006723647598;492.0465454089478;-89.07195499402245
71.0;0.005893;-717.705039879216;503.7622098021443;-77.44083995129155
72.0;0.005976;-732.1215565584395;513.9602006403924;-62.88210237761954
73.0;0.006059;-742.6948006876954;523.5761294272116;-48.865988162745
74.0;0.006142;-756.709971418168;532.431360988102;-32.93217692657632
75.0;0.006225;-770.8434680886836;539.8688901121476;-16.44016040353713
76.0;0.006308;-788.467665106806;546.3387068166741;0.7221743721797848
77.0;0.006391;-804.507790880531;551.6112055630601;18.23642246162717
