"Time-Step";"flow-time";"current_in_a";"current_in_b";"current_in_c"
1;8.333e-05;41289083.62273289;19580094.63076988;21864315.56511537
2;0.00016666;41221544.4144665;18423610.29250193;22973299.17430551
3;0.00024999;41113327.77731725;17248945.57324554;24059612.73675472
4;0.00033332;33356176.57806273;20414723.93787447;12550546.51405503
5;0.00041665;32779404.3192264;18531857.2556083;13358849.67100827
6;0.00049998;32302027.10688813;15855341.5822804;15827325.68222202
7;0.0005833100000000001;32468904.29313914;12881638.619053;19155551.58657593
8;0.00066664;31576160.56668374;9986203.972689541;21357355.68132103
9;0.00074997;31367447.22198398;8544403.851107169;22417246.45568771
10;0.0008333000000000001;30440712.369555;6584687.937675604;23665485.72451157
11;0.0009166300000000001;29668385.14355396;5457679.296714803;23575338.99686582
12;0.00099996;28169117.36415067;3437100.576260581;24578001.10257137
13;0.00108329;27497600.60924047;2553832.038577315;24065704.81624868
14;0.00116662;25643586.00753905;638238.5800136693;25069532.1935179
15;0.00124995;24999425.87390576;754963.7134702586;24678031.8809774
16;0.00133328;23603913.82059568;2709597.232738726;26282819.73622952
17;0.00141661;23233302.2729842;3310567.904856586;25507111.32405475
18;0.00149994;21972749.45110029;5075010.630088834;27046496.96815206
19;0.00158327;21611013.64712339;5541757.006607766;26100382.45125424
20;0.0016666;20533661.54989347;7133986.504240855;27684961.97660065
21;0.00174993;20419075.88752751;7379561.919808568;26642153.02083245
22;0.00183326;19545430.87634759;8752521.690319475;28378663.94956241
23;0.00191659;19365352.3466017;8851707.367387246;27247371.93186548
24;0.00199992;18693405.14792922;10044741.62110332;29121849.06572101
25;0.00208325;18490849.79521349;9992491.705004476;27797924.71858223
26;0.00216658;17929177.55978141;11030232.30287198;29618431.16560173
27;0.00224991;17468021.53703709;11169744.19264787;28126360.68287287
28;0.00233324;16963875.71781994;12499926.70551864;30386475.86758546
29;0.00241657;16217289.04378632;12763740.67547072;28925395.98336459
30;0.0024999;15481044.28252298;13780936.85960986;31089409.11801927
31;0.00258323;14547406.55481575;13951839.69780886;29413989.31193628
32;0.00266656;13803196.13716676;14861738.43208313;31385064.77753861
33;0.00274989;12859892.31576892;15314851.9708635;29812252.75896781
34;0.00283322;12134535.19199701;16072733.71245448;31486132.47605311
35;0.00291655;11235796.11369029;16304001.97778739;29624963.19312777
36;0.00299988;10491562.18018905;17018490.07608048;30939476.06929092
37;0.00308321;9542961.325868411;17395536.9910268;29027502.69566221
38;0.00316654;8781024.461590001;18465132.65687541;30722442.24193694
39;0.00324987;7847738.674384474;18815557.57951559;28885830.40818729
40;0.0033332;7083618.459602283;19561136.84578805;29946309.81212177
41;0.00341653;6157833.033083984;20053854.87721413;28259768.4919035
42;0.00349986;5429386.872244784;20482794.85505847;28989790.14286982
43;0.00358319;4521877.048634081;21140519.69935301;27516583.18527988
44;0.00366652;3803502.132901048;21498854.35244013;28024483.28634652
45;0.00374985;2939245.344267955;22277155.07098489;26728021.03381149
46;0.00383318;2288486.488789824;22515396.62329256;27087148.57431149
47;0.00391651;1546315.620195324;23276896.20448026;25829563.08987511
48;0.00399984;1041260.942738336;23284100.72414117;25958403.50069579
49;0.004083170000000001;447706.6447673577;24075748.8414544;24940666.40828468
50;0.0041665;26428.79790056599;24193921.19692881;24962315.51117387
51;0.00424983;511693.7925774209;24889757.70656585;24055397.67038067
52;0.004333160000000001;921607.853586634;24774655.13797656;23789666.81137258
53;0.00441649;1413429.976519301;25379075.82186729;23021670.51509781
54;0.00449982;1833178.800957704;25353080.21601275;22565066.47891216
55;0.00458315;2315671.410719187;25966078.61902165;21831833.08573522
56;0.004666480000000001;2726205.559947243;25745119.06643447;21245458.66396736
57;0.00474981;3198024.223999227;26123826.49201716;20433729.71473341
58;0.00483314;3618109.534894436;25875683.55320185;19788902.0474663
59;0.00491647;4103071.214669033;26036292.81693822;18928501.56481761
60;0.0049998;4565793.577568306;25705240.01043262;18222480.26268429
61;0.00508313;5137715.130918349;26070435.26751982;17356735.26277814
62;0.00516646;5718369.088740394;25808848.5329652;16652878.43185627
63;0.005249790000000001;6339954.634453401;25684760.58776102;15672975.39492114
64;0.00533312;7012334.356631795;25474910.57641985;14968301.75030562
65;0.00541645;7744433.745041217;25149086.57537887;13903831.39160345
66;0.00549978;8553922.050824573;25173772.38266167;13239630.25117857
67;0.005583110000000001;9310661.770863384;24854428.17588104;12141904.99666583
68;0.00566644;10126620.12179759;24845655.36993035;11445622.94081547
69;0.00574977;10972502.27396569;24723510.97842677;10415206.32546573
70;0.0058331;11847767.27165112;24520603.60313535;9657609.611277182
71;0.00591643;12728904.24003831;24510914.12112219;8621234.979220569
72;0.005999760000000001;13564255.58899195;24214470.73452624;7866910.678650401
73;0.00608309;14432695.95769691;24077907.44976139;6818872.136390395
74;0.006166420000000001;15294185.9641921;23789734.17138794;6051178.834745753
