"Time-Step";"flow-time";"tensao-a";"tensao-b";"tensao-c"
1;8.333e-05;614.2809231280484;-105.5565761940441;-480.4575920098924
2;0.00016666;620.2046604085305;-98.37471043977841;-492.4429712025404
3;0.00024999;625.5163260218451;-91.09582218489722;-503.9424611264208
4;0.00033332;777.041010535382;315.9952205617689;-942.9020818734404
5;0.00041665;827.7558871828189;319.1101428966952;-948.0953315689103
6;0.00049998;759.0269202492821;129.1366391210306;-916.3461191709408
7;0.0005833100000000001;697.6832183948328;16.80618385752815;-761.4697483264749
8;0.00066664;717.7341809155664;-87.69726218606641;-689.0056558516576
9;0.00074997;703.4664032048221;-103.7976676947005;-684.5811889965811
10;0.0008333000000000001;734.0109109135896;-146.4632531884891;-669.1449156350679
11;0.0009166300000000001;764.2290103098775;-142.9105540408861;-743.6186201110156
12;0.00099996;833.286664225095;-187.4473781061258;-746.257570893951
13;0.00108329;852.9503741562717;-171.5736285319353;-845.6001737003298
14;0.00116662;943.3040311460444;-213.5689596336124;-844.3659007123154
15;0.00124995;947.737418640706;-219.8384870637412;-929.3407477654335
16;0.00133328;997.3171862063293;-255.367622693882;-873.7199290059783
17;0.00141661;983.8287530643219;-221.8653930894872;-975.7200522753762
18;0.00149994;1021.654925135051;-241.9751671629235;-918.7184790543469
19;0.00158327;1003.832432501646;-200.6102029720263;-1024.115596744352
20;0.0016666;1028.519502974729;-206.6799654561754;-952.4821277898488
21;0.00174993;996.7048938990123;-142.1507311822487;-1045.361400435955
22;0.00183326;995.931647077679;-145.0792642419081;-965.2194816767826
23;0.00191659;957.1903231394409;-83.11526224321749;-1067.321501103998
24;0.00199992;948.5671066056943;-59.67510455104218;-954.2701634726141
25;0.00208325;912.0501667996049;9.84539248734116;-1062.856587039268
26;0.00216658;892.4022440966958;41.57673998428755;-945.9422774755524
27;0.00224991;863.2556246678495;96.30522675002916;-1062.89249350769
28;0.00233324;831.8484162065944;110.6657560112869;-914.4541559043143
29;0.00241657;818.1751109750459;159.8552910973553;-1027.712332473077
30;0.0024999;803.2668682420835;197.2062825979033;-874.9040345486482
31;0.00258323;799.5657824198586;249.7485163828711;-997.8288208018481
32;0.00266656;792.7072237515406;303.7084884052059;-819.8927313043056
33;0.00274989;770.9572818192825;320.4293766787277;-953.8672728690707
34;0.00283322;750.7325294478532;369.2482218320985;-813.7322783727103
35;0.00291655;738.5615753685072;407.1666125308253;-928.7646889560116
36;0.00299988;716.045591240191;450.8895571855799;-805.2209813872562
37;0.00308321;698.414486030846;475.3076526874135;-926.7216981462336
38;0.00316654;669.4091946179979;496.1585178068823;-776.7697791289942
39;0.00324987;647.870227275034;520.1166630491373;-886.0906597362778
40;0.0033332;618.4660202175908;553.1253150174307;-777.2913590401191
41;0.00341653;591.7660300970591;565.2448815023332;-873.5971319867416
42;0.00349986;560.1709023865717;613.9928032418529;-781.4997762244042
43;0.00358319;526.9386924182888;613.3878700439586;-861.5376114508925
44;0.00366652;492.4937945321596;662.0829381455108;-782.9467926091176
45;0.00374985;453.7393449003116;652.3916159380025;-846.1946442483867
46;0.00383318;413.8163593115564;704.614912599449;-773.1566201123079
47;0.00391651;363.4869167076311;690.2227562299661;-831.2266242715556
48;0.00399984;315.0215355310254;751.9433423975711;-765.3306950480745
49;0.004083170000000001;253.6867596773195;733.6880579999039;-799.9858515471421
50;0.0041665;196.2560646425312;780.516732440331;-739.9143370820577
51;0.00424983;135.3503833437944;771.2552302793573;-749.4011954300929
52;0.004333160000000001;70.66036509940332;820.3588542823371;-715.0817302440779
53;0.00441649;2.951523779121551;807.9711067482817;-720.0935841066613
54;0.00449982;-58.18432610203955;848.4051543301169;-688.1521025471471
55;0.00458315;-115.4067422083375;849.0899007394852;-674.9026619490654
56;0.004666480000000001;-186.7096132826349;879.8587204505468;-658.7954541925045
57;0.00474981;-249.2542753896617;875.2218503416171;-651.435336951283
58;0.00483314;-314.1065648401948;904.1925585691401;-628.9079326018096
59;0.00491647;-378.5758277327868;896.1369856389238;-624.1339400791546
60;0.0049998;-435.1932878785738;927.8131688345741;-595.3998561903529
61;0.00508313;-496.3176742127088;905.7985230212395;-590.8020897344229
62;0.00516646;-545.032298059498;920.7039608001695;-560.9782720248483
63;0.005249790000000001;-592.0403245956037;918.8387315362488;-554.4024915476288
64;0.00533312;-632.8308424565906;922.8737829358279;-521.6971984348702
65;0.00541645;-669.7460961132093;930.7003518104736;-514.1887441055287
66;0.00549978;-703.8452071134425;921.174781571319;-478.8992986423819
67;0.005583110000000001;-735.8721162013964;928.4220349229173;-469.9364039807573
68;0.00566644;-764.2240829753666;923.135675071796;-433.7119953540439
69;0.00574977;-789.572761143347;917.2295064747593;-420.212695875917
70;0.0058331;-806.3288103649252;920.3737692128075;-381.9136299024518
71;0.00591643;-822.8349346403841;907.2882056296957;-366.4772560237664
72;0.005999760000000001;-832.1387114949021;920.8464389612088;-323.2693218449884
