Time-Step;flow-time;current_in_a;current_in_b;current_in_c
10;5e-05;35078660.43252335;-16966631.51902369;-18112028.91349965
20;0.0001;35059964.40375981;-16384788.28452411;-18675176.11923569
30;0.00015;35028811.73658578;-15797123.61276513;-19231688.12382064
40;0.0002;34985213.49939556;-15203846.2982064;-19781367.20118915
50;0.00025;34929185.18243522;-14605167.12945284;-20324018.05298237
60;0.0003;34860746.69229901;-14001298.8143624;-20859447.87793659
70;0.00035;34779922.34485658;-13392455.90447206;-21387466.4403845
80;0.0004;34686740.85661372;-12778854.71876862;-21907886.13784509
90;0.00045;34581235.33450952;-12160713.26683162;-22420522.06767789
100;0.0005;34463443.26415361;-11538251.17137559;-22925192.09277799
110;0.00055;34333406.49650768;-10911689.59021912;-23421716.90628855
120;0.0006000000000000001;34191171.23301613;-10281251.13770854;-23909920.09530758
130;0.00065;34036788.00919077;-9647159.805624124;-24389628.20356663
140;0.0007000000000000001;33870311.67665593;-9009640.883596851;-24860670.79305907
150;0.00075;33691801.38365987;-8368920.879064112;-25322880.50459575
160;0.0008;33501320.55405968;-7725227.436792647;-25776093.11726702
170;0.0008500000000000001;33298936.86478712;-7078789.257997463;-26220147.60678964
180;0.0009000000000000001;33084722.22180332;-6429836.019085412;-26654886.20271789
190;0.0009500000000000001;32858752.73455092;-5778598.290052202;-27080154.44449871
200;0.001;32621108.68891278;-5125307.452562007;-27495801.23635075
210;0.00105;32371874.51868671;-4470195.617738681;-27901678.90094801
220;0.0011;32111138.77558665;-3813495.543697736;-28297643.23188891
230;0.00115;31838994.09778062;-3155440.552848524;-28683553.54493208
240;0.0012;31555537.17697676;-2496264.44899588;-29059272.72798086
250;0.00125;31260868.72406934;-1836201.434270774;-29424667.28979855
260;0.0013;30955093.43335657;-1175486.025919353;-29779607.40743721
270;0.00135;30638319.94534326;-514352.9729801536;-30123966.9723631
280;0.0014;30310660.80814135;146962.8271212085;-30457623.63526255
290;0.00145;29972232.4374821;808226.4120298674;-30780458.84951196
300;0.0015;29623155.07535413;1469202.837942798;-31092357.91329692
310;0.00155;29263552.74728203;2129657.263083197;-31393210.01036522
320;0.0016;28893553.21826069;2789355.03113863;-31682908.24939931
330;0.00165;28513287.94736096;3448061.754633342;-31961349.70199429
340;0.0017;28122892.04102292;4105543.398204994;-32228435.4392279
350;0.00175;27722504.20505318;4761566.361756277;-32484070.56680945
360;0.0018;27312266.69534335;5415897.563452004;-32728164.25879534
370;0.00185;26892325.26732725;6068304.522531873;-32960629.78985911
380;0.0019;26462829.12419464;6718555.441909826;-33181384.56610446
390;0.00195;26023930.8638801;7366419.290530464;-33390350.15441056
400;0.002;25575786.42484564;8011665.885453249;-33587452.31029888
410;0.00205;25118555.03067656;8654065.973635428;-33772621.00431198
420;0.0021;24652399.13351004;9293391.313384537;-33945790.44689456
430;0.00215;24177484.35631669;9929414.755451571;-34106899.11176825
440;0.0022;23693979.43405549;10561910.32373608;-34255889.75779156
450;0.00225;23202056.15372305;11190653.29557434;-34392709.44929738
460;0.0023;22701889.29331852;11815420.2815823;-34517309.57490081
470;0.002350000000000001;22193656.55974579;12435989.30502475;-34629645.86477053
480;0.0024;21677538.52567511;13052139.88068254;-34729678.40635764
490;0.00245;21153718.56538641;13663653.09319002;-34817371.65857643
500;0.0025;20622382.78961735;14270311.6748146;-34892694.46443195
510;0.00255;20083719.97943906;14871900.08265089;-34955620.06208994
520;0.0026;19537921.51918308;15468204.57520211;-35006126.09438518
530;0.00265;18985181.32844344;16059013.28832146;-35044194.6167649
540;0.0027;18425695.793178;16644116.31048634;-35069812.10366433
550;0.00275;17859663.69593336;17223305.75737904;-35082969.45331239
560;0.0028;17287286.14521845;17796375.84574694;-35083661.99096538
570;0.00285;16708766.5040516;18363122.96651639;-35071889.47056799
580;0.0029;16124310.31770663;18923345.75713402;-35047656.07484064
590;0.00295;15534125.24068357;19476845.17310989;-35010970.41379344
