"Time-Step" "tensao(corte-tensao-a)" "tensao(corte-tensao-b)" "tensao(corte-tensao-c)" "flow-time"
10 630.479456193022 283.8875158917023 -278.7275687626334 0.0015
20 567.4803819513697 70.86004842256288 -913.0371725781414 0.003
30 -607.6680930834134 -84.49526724252479 -966.1625842955098 0.0045
40 -1646.215584760694 -434.9338862449989 -982.0168865299056 0.005999999999999999
50 -1501.306179446359 -761.4645904922548 -638.7606618076703 0.007499999999999999
60 -1081.652643257942 -474.3391657741972 265.8145494200624 0.008999999999999999
70 -746.8199601637399 -412.4507276061039 94.53454151020016 0.0105
80 -547.712637388491 -311.5133736187599 62.19730964502165 0.012
90 902.3957138184059 -46.56659611327798 349.2324934153274 0.0135
100 1194.079322772644 45.95733460996215 419.5247427094313 0.015
110 1093.259244977181 352.0083642802467 -272.0895012572076 0.0165
120 1043.444484627876 693.8431151869227 -463.4318980069498 0.018
130 991.6377099331037 651.8312137871777 -435.0125172679996 0.0195
140 12.1191457284427 536.3834343076431 -343.3954788560609 0.021
150 -909.8626177794413 701.1777013269111 114.7911671745471 0.0225
160 -886.1311830068445 720.8027895526055 177.2888981247183 0.024
170 -862.1598713674822 79.5467031450743 938.2289944193375 0.02549999999999999
180 -814.5624826187632 -67.31821084694602 869.5187365737115 0.027
190 -450.2064643266597 -182.513635502293 417.9668150563415 0.0285
200 494.7025156542579 -466.6191040386133 238.6831129033158 0.03
210 897.3356410506775 -966.5765572907029 -378.3895014232563 0.03149999999999999
220 861.6730697971813 -138.9081882256265 -344.5928049042312 0.03299999999999999
230 768.3009468117727 248.5489048154051 -812.9006611729575 0.0345
240 306.9924371400133 -118.3503724565186 -662.0956680813406 0.036
250 -36.02131478811975 85.84637869133216 -497.2918908911033 0.0375
260 -1199.351677174364 147.26712257873 -559.4736130011548 0.03899999999999999
270 -1228.804142577684 189.9382843846225 -190.6517238926006 0.04049999999999999
280 -1146.476273715996 -459.5264530132405 316.4923020657268 0.042
290 -999.5691639384432 -350.8283172024807 277.5269783340646 0.0435
300 -823.1534140946343 -484.1931970859549 81.54259087949251 0.045
310 9.669598877094353 -712.2307584836009 -126.929859573275 0.0465
320 376.6394592470496 -925.4840300223135 -490.2107538308044 0.048
330 162.0774966034768 -319.4668736028565 -842.1482437181451 0.0495
340 327.1601123895612 -186.2250539921714 -1132.674296774353 0.051
350 113.4763713286231 -303.4191954693455 -984.3213311750104 0.0525
360 -512.6163751393103 -551.8604797599997 -1157.848376599088 0.054
370 -1952.785888899096 -849.5419359765197 -1369.909068428987 0.05549999999999999
380 -1962.726433290326 -1016.817846933206 -1282.66300441843 0.057
390 -1730.012032043978 -936.6120924484223 -6.185070098604915 0.0585
400 -1673.460840456072 -1185.371877044521 84.1098227707766 0.06
410 -1199.372201328689 -901.3320113990045 -19.38440533817411 0.0615
420 -642.7541665248823 -1283.757059561026 -737.1928999948492 0.063
430 -330.3567407817415 -1744.774824314133 -1410.014254421716 0.0645
440 -331.0391401039859 -1828.288986996154 -1558.248405652923 0.066
450 -371.6220261826933 -964.8569555510707 -1837.411920275922 0.0675
460 -633.5875872375361 -1218.066299816361 -1765.416210508058 0.06899999999999999
470 -986.3732171109552 -1103.547014632269 -1505.531576744606 0.07049999999999999
480 -2063.275141984398 -1084.49556047989 -1495.480689704255 0.07199999999999999
490 -1939.456166194955 -868.594213581348 -1132.510572143811 0.0735
500 -2008.383634797959 -1591.455015805952 -852.1646444432502 0.075
510 -1875.05545066407 -1407.566324661987 -797.1322925603203 0.0765
520 -1725.234039533184 -1271.430150427527 -892.6284842295519 0.078
530 -1151.883677356575 -1532.237186933812 -1076.460720575647 0.0795
540 -380.740393945853 -1646.194290651488 -1268.616569376555 0.081
550 -401.8185902272995 -1708.065606803937 -1633.193651007223 0.08249999999999999
560 -535.3351696851212 -1255.294611898757 -2153.1146216692 0.08399999999999999
570 -744.0478547160342 -1236.736324336225 -2132.461175376696 0.08549999999999999
580 -1036.640812452458 -1190.286096366834 -1798.800725014615 0.08699999999999999
590 -1890.537078092199 -713.9184796465441 -1587.427893625538 0.0885
600 -1980.201620476415 -187.129334358142 -721.7704838389645 0.09
610 -1974.629839175528 -219.8456964544935 -343.5704006030663 0.0915
620 -1980.724690210638 -778.8934512833506 306.6357799052159 0.093
630 -1660.285603755824 -1045.755983099309 -412.6017707183969 0.0945
640 -1212.282311119028 -1743.920811991651 -984.2978000894007 0.096
650 -775.7560429711651 -2287.44696546813 -1831.211202690645 0.0975
660 -712.1162503290259 -2597.039209291872 -2114.138803120282 0.09899999999999999
670 -724.8526076697966 -1670.061043848712 -2482.269430136069 0.1005
