x:tensao_200pontos: tensao(corte-tensao-a);y:tensao_200pontos: tensao(corte-tensao-a);x:tensao_200pontos: tensao(corte-tensao-b);y:tensao_200pontos: tensao(corte-tensao-b);x:tensao_200pontos: tensao(corte-tensao-c);y:tensao_200pontos: tensao(corte-tensao-c);x:tensao_100pontos: tensao(corte-tensao-a);y:tensao_100pontos: tensao(corte-tensao-a);x:tensao_100pontos: tensao(corte-tensao-b);y:tensao_100pontos: tensao(corte-tensao-b);x:tensao_100pontos: tensao(corte-tensao-c);y:tensao_100pontos: tensao(corte-tensao-c)
0,00085;530,8980637445713;0,00085;-28,6476172286123;0,00085;-467,6076992209312;0,0015;630,479456193022;0,0015;283,8875158917023;0,0015;-278,7275687626334
0,00183;891,6711634720829;0,00183;136,1687425385296;0,00183;-501,4357915602723;0,003;567,4803819513697;0,003;70,86004842256288;0,003;-913,0371725781414
0,00268;657,2772651969622;0,00268;-17,30199450083597;0,00268;-764,9915028019137;0,0045;-607,6680930834134;0,0045;-84,49526724252479;0,0045;-966,1625842955098
0,00353;400,5807899978395;0,00353;121,9185346875993;0,00353;-693,7647680392736;0,0059999999999999;-1646,215584760694;0,0059999999999999;-434,9338862449989;0,0059999999999999;-982,0168865299056
0,00438;-112,3771032273756;0,00438;291,0157547072379;0,00438;-439,153020875758;0,0074999999999999;-1501,306179446359;0,0074999999999999;-761,4645904922548;0,0074999999999999;-638,7606618076703
0,00523;-874,5638651200234;0,00523;226,5872397066457;0,00523;-350,0071781656719;0,0089999999999999;-1081,652643257942;0,0089999999999999;-474,3391657741972;0,0089999999999999;265,8145494200624
0,00608;-954,8000443163972;0,00608;506,7859770974571;0,00608;-63,19243591081694;0,0105;-746,8199601637399;0,0105;-412,4507276061039;0,0105;94,53454151020016
0,00693;-940,4917657087676;0,00693;193,6285381365557;0,00693;-182,635031002003;0,012;-547,712637388491;0,012;-311,5133736187599;0,012;62,19730964502165
0,00778;-859,1264432843253;0,00778;-244,8587291617125;0,00778;7,896761808449988;0,0135;902,395713818406;0,0135;-46,56659611327798;0,0135;349,2324934153274
0,00863;-844,508680810267;0,00863;-222,0465447568473;0,00863;525,0561377477517;0,015;1194,079322772644;0,015;45,95733460996215;0,015;419,5247427094313
