x:current_in: current_in_a;y:current_in: current_in_a;x:current_in: current_in_b;y:current_in: current_in_b;x:current_in: current_in_c;y:current_in: current_in_c
0.0008500000000000001;33298936.86478712;0.0008500000000000001;-7078789.257997463;0.0008500000000000001;-26220147.60678964
0.00183;27061456.83634422;0.00183;5807587.499302119;0.00183;-32869044.33564633
0.00268;18650286.77940913;0.00268;16410773.13540439;0.00268;-35061059.91481351
0.00353;8340373.734257106;0.00353;25343215.53894306;0.00353;-33683589.27320017
0.00438;-2818653.661485679;0.00438;31695523.2039336;0.00438;-28876869.54244792
0.00523;-13690720.38261478;0.00523;34820982.23366456;0.00523;-21130261.85104978
0.00608;-23168966.2130738;0.00608;34401396.80155953;0.00608;-11232430.58848573
0.00693;-30288432.64986267;0.00693;30479483.93961865;0.00693;-191051.289755994
0.00778;-34324303.11849187;0.00778;23454524.61521179;0.00778;10869778.50328006
0.00863;-34865694.88861529;0.00863;14041713.85013631;0.00863;20823981.03847895
0.00948;-31857490.10389331;0.00948;3199348.353230608;0.00948;28658141.75066269
0.01033;-25605947.20472791;0.01033;-7968735.473071878;0.01033;33574682.67779978
0.01118;-16747521.45777125;0.01118;-18325540.58911046;0.01118;35073062.04688169
0.01203;-6184068.902697915;0.01203;-26816664.38290396;0.01203;33000733.28560187
0.01288;5008969.54596131;0.01288;-32577644.98551489;0.01288;27568675.43955359
0.01373;15692056.27558928;0.01373;-35021970.15432522;0.01373;19329913.87873594
0.01458;24777570.69030375;0.01458;-33900788.74135555;0.01458;9123218.051051795
0.01543;31340537.37319434;0.01543;-29328245.65877663;0.01543;-2012291.714417681
0.01628;34712795.71534225;0.01628;-21769861.04679094;0.01628;-12942934.66855132
0.01713;34551023.81733955;0.01713;-11995136.73419071;0.01713;-22555887.0831488
0.01798;30871691.30566737;0.01798;-999215.0193127441;0.01798;-29872476.28635458
0.01883;24049382.59773905;0.01883;10098434.48849839;0.01883;-34147817.08623742
0.01968;14778661.32015424;0.01968;20167985.50625447;0.01968;-34946646.82640871
0.02053;4003358.376412102;0.02053;28184280.10391412;0.02053;-32187638.48032622
0.02138;-7179517.316019604;0.02138;33331197.68564865;0.02138;-26151680.36962906
0.02223;-17631462.79146262;0.02223;35084742.35880298;0.02223;-17453279.56734039
0.02308;-26288389.41581438;0.02308;33266389.75578657;0.02308;-6978000.339972218
0.02393;-32268955.31364357;0.02393;28061262.19112035;0.02393;4207693.122523187
0.02478;-34964292.76627202;0.02478;19999281.78252184;0.02478;14965010.98375014
0.02563;-34099995.63991805;0.02563;9901220.293611912;0.02563;24198775.3463061
0.02648;-29764056.04579214;0.02648;-1204861.759788365;0.02648;30968917.80558047
0.02733;-22397906.06475474;0.02733;-12188279.59653463;0.02733;34586185.66128934
0.02818;-12751476.55803473;0.02818;-21930836.59848145;0.02818;34682313.15651616
0.02903;-1806848.42357506;0.02903;-29440665.34752693;0.02903;31247513.77110199
0.02988;9321730.81124097;0.02988;-33953207.37609289;0.02988;24631476.56485192
0.03073;19501285.97874718;0.03073;-35009051.11388466;0.03073;15507765.13513751
0.03158;27695459.87832349;0.03158;-32500703.52781934;0.03158;4805243.649495886
0.03243;33070022.42975323;0.03243;-26683533.74156696;0.03243;-6386488.688186227
0.03328;35077801.72731925;0.03328;-18149774.48985992;0.03328;-16928027.23745929
0.03413000000000001;33514390.35851193;0.03413000000000001;-7768228.259971502;0.03413000000000001;-25746162.09854039
0.03498;28538955.65460793;0.03498;3404183.499972568;0.03498;-31943139.15458047
0.03583;20658035.22916277;0.03583;14230023.13329863;0.03583;-34888058.36246138
0.03668;10673967.54353619;0.03668;23607136.69790037;0.03668;-34281104.24143655
0.03753000000000001;-396792.3345193405;0.03753000000000001;30580861.73517365;0.03753000000000001;-30184069.40065428
0.03838;-11427155.69364408;0.03838;34441219.26876863;0.03838;-23014063.57512451
0.03923;-21294146.49956372;0.03923;34795195.13833391;0.03923;-13501048.63877022
0.04008;-28993229.01354495;0.04008;31606751.87118685;0.04008;-2613522.857641933
0.04093000000000001;-33740577.27558882;0.04093000000000001;25200497.57488251;0.04093000000000001;8540079.700706264
0.04178;-35052874.63047198;0.04178;16228638.32912975;0.04178;18824236.30134219
0.04263;-32796519.08962932;0.04263;5604578.578355016;0.04263;27191940.5112743
0.04348;-27201225.04366358;0.04348;-5590070.483105947;0.04348;32791295.52676951
0.04433000000000001;-18836636.56627977;0.04433000000000001;-16215607.26983479;0.04433000000000001;35052243.83611454
0.04518;-8554333.255615227;0.04518;-25190270.21384754;0.04518;33744603.46946274
0.04603;2598867.13454638;0.04603;-31600369.43261833;0.04603;29001502.29807192
0.04688000000000001;13487482.81309523;0.04688000000000001;-34793307.40368693;0.04688000000000001;21305824.59059166
0.04773000000000001;23002968.75251668;0.04773000000000001;-34444018.42398471;0.04773000000000001;11441049.67146799
0.04858000000000001;30176575.11959627;0.04858000000000001;-30588062.80467027;0.04858000000000001;411487.6850739477
0.04943000000000001;34277973.47752109;0.04943000000000001;-23618006.55728238;0.04943000000000001;-10659966.92023878
0.05028000000000001;34889609.85159337;0.05028000000000001;-14243455.14707412;0.05028000000000001;-20646154.70451932
0.05113;31949214.94320427;0.05113;-3418810.18557816;0.05113;-28530404.75762617
0.05198000000000001;25756143.62452956;0.05198000000000001;7753896.011902662;0.05198000000000001;-33510039.63643227
0.05283000000000001;16940898.30451042;0.05283000000000001;18137195.81268303;0.05283000000000001;-35078094.11719348
0.05368000000000001;6400938.92243747;0.05368000000000001;26673989.24160039;0.05368000000000001;-33074928.16403787
0.05453;-4790685.393302946;0.05453;32495164.90874805;0.05453;-27704479.51544509
0.05538000000000001;-15494580.99972787;0.05538000000000001;35008082.24983301;0.05538000000000001;-19513501.25010511
0.05623000000000001;-24621008.79686021;0.05623000000000001;33956906.90489125;0.05623000000000001;-9335898.108031
0.05708000000000001;-31240828.07001636;0.05708000000000001;29448656.62862024;0.05708000000000001;1792171.441396183
0.05793;-34680090.17825408;0.05793;21942306.0578414;0.05793;12737784.12041275
0.05878000000000001;-34588651.72217707;0.05878000000000001;12202059.55476866;0.05878000000000001;22386592.16740847
0.05963000000000001;-30975821.84160622;0.05963000000000001;1219549.310904445;0.05963000000000001;29756272.53070183
0.06048000000000001;-24209414.47337226;0.06048000000000001;-9887120.455558587;0.06048000000000001;34096534.92893089
0.06133;-14978302.05669352;0.06133;-19987205.12975514;0.06133;34965507.18644869
0.06218000000000001;-4222283.007643682;0.06218000000000001;-28052438.2200032;0.06218000000000001;32274721.22764689
0.06303;6963597.005468113;0.06303;-33261716.81461168;0.06303;26298119.80914355
0.06388;17440529.15395529;0.06388;-35084696.18901045;0.06388;17644167.03505512
0.06473000000000001;26141880.9677515;0.06473000000000001;-33335782.98767929;0.06473000000000001;7193902.019927746
0.06558;32181787.74462083;0.06558;-28193030.05866851;0.06558;-3988757.685952373
0.06643000000000002;34945340.40687963;0.06643000000000002;-20180009.30087611;0.06643000000000002;-14765331.10600359
